iter	Logloss
0	0.6919269174
1	0.6912912767
2	0.6905517265
3	0.6890361783
4	0.6880321504
5	0.6875356485
6	0.6871302505
7	0.6865961863
8	0.6864717809
9	0.6854702357
10	0.6845572647
11	0.6838541755
12	0.6834243786
13	0.6824229393
14	0.6820922525
15	0.6820385161
16	0.6811804426
17	0.6803772058
18	0.6796710265
19	0.6785869943
20	0.6777790177
21	0.6773592499
22	0.6763925193
23	0.675079534
24	0.67380278
25	0.6724299955
26	0.6715983513
27	0.6713855144
28	0.6709842807
29	0.6702317086
30	0.6689676862
31	0.6685499091
32	0.6676687177
33	0.6670112791
34	0.6663099079
35	0.6655397094
36	0.6644728874
37	0.6636402765
38	0.6627059884
39	0.6620514434
40	0.6613734756
41	0.6606072861
42	0.6594722809
43	0.6584194909
44	0.657963783
45	0.6577445631
46	0.6572868283
47	0.6561831302
48	0.655325449
49	0.6551095497
50	0.6545578653
51	0.6534345297
52	0.6524890227
53	0.6514121182
54	0.6508490627
55	0.6505342224
56	0.6496619507
57	0.6490899073
58	0.6485214288
59	0.6473625852
60	0.6465982986
61	0.6459082101
62	0.6446885684
63	0.6443358895
64	0.6435992822
65	0.6428233228
66	0.6422409321
67	0.6411261088
68	0.6400058096
69	0.6399178361
70	0.6390529279
71	0.6379954667
72	0.6377504374
73	0.6371919266
74	0.6359131582
75	0.6355777895
76	0.6342919827
77	0.6336786172
78	0.6332032196
79	0.6326018994
80	0.6317451019
81	0.6308691913
82	0.6301481946
83	0.6297644481
84	0.6292129116
85	0.6283597274
86	0.6280422736
87	0.6276142786
88	0.6272119542
89	0.6266405839
90	0.6266000454
91	0.6259999164
92	0.6256280911
93	0.6245932689
94	0.6239755876
95	0.6236459544
96	0.6229750431
97	0.6220210875
98	0.6214351981
99	0.6206053831
100	0.6195031911
101	0.6184500829
102	0.6176663315
103	0.6169806779
104	0.6161706122
105	0.6156723871
106	0.6146756819
107	0.6143875229
108	0.6137686909
109	0.6133320493
110	0.6126536436
111	0.6120282012
112	0.6114488503
113	0.6114099813
114	0.6105069097
115	0.6101768849
116	0.6092208615
117	0.6087224258
118	0.6077080518
119	0.607184303
120	0.6062580745
121	0.6053653756
122	0.6045710049
123	0.6037473713
124	0.6034806111
125	0.6028600957
126	0.6019858458
127	0.60177464
128	0.6008674083
129	0.6006196497
130	0.6000824957
131	0.5994099982
132	0.5991376807
133	0.5986220427
134	0.5977081245
135	0.5973639902
136	0.5963129055
137	0.5957794004
138	0.5950776696
139	0.5947643248
140	0.5941572633
141	0.5935394407
142	0.5932435481
143	0.5926643454
144	0.5923438507
145	0.5918306038
146	0.5915849177
147	0.5912185798
148	0.5905753135
149	0.5896116048
150	0.5891213262
151	0.5888536067
152	0.588351817
153	0.5879562489
154	0.5875187822
155	0.5870345149
156	0.5867571191
157	0.586020963
158	0.5857888224
159	0.5853616399
160	0.5853100222
161	0.5848222028
162	0.5840241063
163	0.5831342234
164	0.582533544
165	0.5825035467
166	0.582162913
167	0.5812542587
168	0.5808696947
169	0.5803004702
170	0.579737424
171	0.5795359573
172	0.5785497306
173	0.5783387239
174	0.5779247422
175	0.5774688908
176	0.5774393346
177	0.5772231951
178	0.5770177498
179	0.5763613278
180	0.5756645543
181	0.5752305122
182	0.5743226933
183	0.5740867336
184	0.5734952809
185	0.5734668775
186	0.5730041063
187	0.5724333663
188	0.5714886826
189	0.5707064895
190	0.570237029
191	0.569987052
192	0.5699596609
193	0.5691854448
194	0.5689068729
195	0.5683276267
196	0.568050257
197	0.5673995004
198	0.5667353366
199	0.5659465208
200	0.5653153925
201	0.5648384211
202	0.5641073981
203	0.5640802617
204	0.5635704829
205	0.5633333337
206	0.5630920827
207	0.56264943
208	0.5622240375
209	0.5614796381
210	0.5608127817
211	0.5603185192
212	0.5598240059
213	0.5594841742
